ds,y
2023-01-01,160
2023-01-02,119
2023-01-03,126
2023-01-04,133
2023-01-05,119
2023-01-06,119
2023-01-07,171
2023-01-08,164
2023-01-09,118
2023-01-10,127
2023-01-11,119
2023-01-12,119
2023-01-13,125
2023-01-14,145
2023-01-15,147
2023-01-16,119
2023-01-17,116
2023-01-18,126
2023-01-19,117
2023-01-20,113
2023-01-21,174
2023-01-22,160
2023-01-23,126
2023-01-24,114
2023-01-25,121
2023-01-26,127
2023-01-27,117
2023-01-28,167
2023-01-29,159
2023-01-30,124
2023-01-31,122
2023-02-01,142
2023-02-02,127
2023-02-03,119
2023-02-04,172
2023-02-05,156
2023-02-06,130
2023-02-07,112
2023-02-08,118
2023-02-09,130
2023-02-10,135
2023-02-11,169
2023-02-12,167
2023-02-13,127
2023-02-14,118
2023-02-15,124
2023-02-16,126
2023-02-17,138
2023-02-18,172
2023-02-19,155
2023-02-20,133
2023-02-21,128
2023-02-22,125
2023-02-23,136
2023-02-24,139
2023-02-25,178
2023-02-26,164
2023-02-27,129
2023-02-28,134
2023-03-01,140
2023-03-02,128
2023-03-03,131
2023-03-04,163
2023-03-05,163
2023-03-06,139
2023-03-07,143
2023-03-08,132
2023-03-09,141
2023-03-10,136
2023-03-11,168
2023-03-12,176
2023-03-13,146
2023-03-14,133
2023-03-15,146
2023-03-16,113
2023-03-17,140
2023-03-18,175
2023-03-19,172
2023-03-20,135
2023-03-21,118
2023-03-22,132
2023-03-23,137
2023-03-24,146
2023-03-25,171
2023-03-26,168
2023-03-27,131
2023-03-28,142
2023-03-29,137
2023-03-30,131
2023-03-31,139
2023-04-01,176
2023-04-02,183
2023-04-03,129
2023-04-04,132
2023-04-05,132
2023-04-06,123
2023-04-07,138
2023-04-08,178
2023-04-09,176
2023-04-10,133
2023-04-11,124
2023-04-12,132
2023-04-13,133
2023-04-14,129
2023-04-15,175
2023-04-16,179
2023-04-17,151
2023-04-18,137
2023-04-19,138
2023-04-20,135
2023-04-21,120
2023-04-22,176
2023-04-23,177
2023-04-24,155
2023-04-25,134
2023-04-26,138
2023-04-27,135
2023-04-28,126
2023-04-29,185
2023-04-30,182
2023-05-01,142
2023-05-02,128
2023-05-03,146
2023-05-04,124
2023-05-05,140
2023-05-06,193
2023-05-07,168
2023-05-08,131
2023-05-09,136
2023-05-10,131
2023-05-11,122
2023-05-12,135
2023-05-13,167
2023-05-14,179
2023-05-15,127
2023-05-16,147
2023-05-17,128
2023-05-18,132
2023-05-19,141
2023-05-20,165
2023-05-21,176
2023-05-22,145
2023-05-23,121
2023-05-24,135
2023-05-25,136
2023-05-26,140
2023-05-27,164
2023-05-28,163
2023-05-29,138
2023-05-30,136
2023-05-31,135
2023-06-01,136
2023-06-02,128
2023-06-03,175
2023-06-04,175
2023-06-05,127
2023-06-06,148
2023-06-07,137
2023-06-08,123
2023-06-09,138
2023-06-10,164
2023-06-11,178
2023-06-12,141
2023-06-13,126
2023-06-14,140
2023-06-15,135
2023-06-16,138
2023-06-17,186
2023-06-18,169
2023-06-19,125
2023-06-20,124
2023-06-21,125
2023-06-22,130
2023-06-23,134
2023-06-24,172
2023-06-25,177
2023-06-26,131
2023-06-27,142
2023-06-28,128
2023-06-29,152
2023-06-30,135
2023-07-01,162
2023-07-02,160
2023-07-03,134
2023-07-04,128
2023-07-05,135
2023-07-06,133
2023-07-07,129
2023-07-08,161
2023-07-09,156
2023-07-10,125
2023-07-11,136
2023-07-12,130
2023-07-13,119
2023-07-14,130
2023-07-15,170
2023-07-16,160
2023-07-17,129
2023-07-18,129
2023-07-19,119
2023-07-20,131
2023-07-21,132
2023-07-22,175
2023-07-23,174
2023-07-24,116
2023-07-25,120
2023-07-26,131
2023-07-27,131
2023-07-28,131
2023-07-29,196
2023-07-30,169
2023-07-31,136
2023-08-01,134
2023-08-02,132
2023-08-03,124
2023-08-04,132
2023-08-05,158
2023-08-06,162
2023-08-07,122
2023-08-08,127
2023-08-09,144
2023-08-10,111
2023-08-11,131
2023-08-12,150
2023-08-13,160
2023-08-14,134
2023-08-15,126
2023-08-16,117
2023-08-17,120
2023-08-18,131
2023-08-19,157
2023-08-20,164
2023-08-21,125
2023-08-22,120
2023-08-23,142
2023-08-24,130
2023-08-25,109
2023-08-26,164
2023-08-27,157
2023-08-28,132
2023-08-29,118
2023-08-30,124
2023-08-31,129
2023-09-01,132
2023-09-02,152
2023-09-03,159
2023-09-04,121
2023-09-05,119
2023-09-06,139
2023-09-07,128
2023-09-08,114
2023-09-09,169
2023-09-10,179
2023-09-11,133
2023-09-12,112
2023-09-13,121
2023-09-14,135
2023-09-15,119
2023-09-16,165
2023-09-17,168
2023-09-18,117
2023-09-19,124
2023-09-20,99
2023-09-21,116
2023-09-22,123
2023-09-23,152
2023-09-24,175
2023-09-25,113
2023-09-26,121
2023-09-27,126
2023-09-28,136
2023-09-29,113
2023-09-30,172
2023-10-01,163
2023-10-02,117
2023-10-03,129
2023-10-04,127
2023-10-05,120
2023-10-06,126
2023-10-07,160
2023-10-08,164
2023-10-09,131
2023-10-10,138
2023-10-11,116
2023-10-12,143
2023-10-13,110
2023-10-14,162
2023-10-15,169
2023-10-16,128
2023-10-17,121
2023-10-18,125
2023-10-19,122
2023-10-20,122
2023-10-21,171
2023-10-22,168
2023-10-23,121
2023-10-24,134
2023-10-25,130
2023-10-26,134
2023-10-27,132
2023-10-28,159
2023-10-29,161
2023-10-30,134
2023-10-31,133
2023-11-01,128
2023-11-02,129
2023-11-03,139
2023-11-04,162
2023-11-05,172
2023-11-06,127
2023-11-07,127
2023-11-08,138
2023-11-09,136
2023-11-10,136
2023-11-11,179
2023-11-12,169
2023-11-13,135
2023-11-14,128
2023-11-15,133
2023-11-16,129
2023-11-17,131
2023-11-18,175
2023-11-19,164
2023-11-20,148
2023-11-21,123
2023-11-22,122
2023-11-23,141
2023-11-24,138
2023-11-25,177
2023-11-26,177
2023-11-27,132
2023-11-28,126
2023-11-29,134
2023-11-30,128
2023-12-01,141
2023-12-02,172
2023-12-03,167
2023-12-04,131
2023-12-05,137
2023-12-06,130
2023-12-07,128
2023-12-08,137
2023-12-09,177
2023-12-10,172
2023-12-11,132
2023-12-12,138
2023-12-13,124
2023-12-14,125
2023-12-15,131
2023-12-16,176
2023-12-17,180
2023-12-18,149
2023-12-19,144
2023-12-20,136
2023-12-21,137
2023-12-22,130
2023-12-23,179
2023-12-24,178
2023-12-25,141
2023-12-26,132
2023-12-27,143
2023-12-28,151
2023-12-29,139
2023-12-30,185
2023-12-31,187
2024-01-01,137
2024-01-02,142
2024-01-03,141
2024-01-04,142
2024-01-05,135
2024-01-06,184
2024-01-07,188
2024-01-08,153
2024-01-09,150
2024-01-10,159
2024-01-11,136
2024-01-12,150
2024-01-13,187
2024-01-14,204
2024-01-15,137
2024-01-16,137
2024-01-17,139
2024-01-18,127
2024-01-19,140
2024-01-20,182
2024-01-21,189
2024-01-22,148
2024-01-23,160
2024-01-24,153
2024-01-25,141
2024-01-26,139
2024-01-27,194
2024-01-28,179
2024-01-29,161
2024-01-30,156
2024-01-31,143
2024-02-01,133
2024-02-02,158
2024-02-03,191
2024-02-04,202
2024-02-05,135
2024-02-06,143
2024-02-07,148
2024-02-08,149
2024-02-09,145
2024-02-10,198
2024-02-11,185
2024-02-12,148
2024-02-13,150
2024-02-14,154
2024-02-15,155
2024-02-16,141
2024-02-17,183
2024-02-18,205
2024-02-19,153
2024-02-20,144
2024-02-21,163
2024-02-22,152
2024-02-23,160
2024-02-24,197
2024-02-25,213
