ds,y
2024-01-01,5149
2024-01-02,4967
2024-01-03,5211
2024-01-04,5482
2024-01-05,6221
2024-01-06,6988
2024-01-07,6281
2024-01-08,5288
2024-01-09,4925
2024-01-10,5237
2024-01-11,7994
2024-01-12,6224
2024-01-13,7212
2024-01-14,5300
2024-01-15,4599
2024-01-16,4956
2024-01-17,4829
2024-01-18,5235
2024-01-19,6164
2024-01-20,6797
2024-01-21,6380
2024-01-22,5106
2024-01-23,5203
2024-01-24,4763
2024-01-25,5036
2024-01-26,6542
2024-01-27,6956
2024-01-28,6120
2024-01-29,5052
2024-01-30,5153
2024-01-31,5068
2024-02-01,5813
2024-02-02,6577
2024-02-03,7066
2024-02-04,6321
2024-02-05,4924
2024-02-06,5361
2024-02-07,4719
2024-02-08,4916
2024-02-09,6713
2024-02-10,7686
2024-02-11,9877
2024-02-12,5313
2024-02-13,5266
2024-02-14,4921
2024-02-15,5157
2024-02-16,6588
2024-02-17,7862
2024-02-18,6311
2024-02-19,4877
2024-02-20,5512
2024-02-21,5307
2024-02-22,5228
2024-02-23,6983
2024-02-24,7936
2024-02-25,6554
2024-02-26,5212
2024-02-27,5380
2024-02-28,5580
2024-02-29,5782
2024-03-01,6728
2024-03-02,7652
2024-03-03,6009
2024-03-04,5163
2024-03-05,5774
2024-03-06,5946
2024-03-07,5525
2024-03-08,7245
2024-03-09,7897
2024-03-10,6214
2024-03-11,9037
2024-03-12,6050
2024-03-13,5586
2024-03-14,6074
2024-03-15,10441
2024-03-16,8117
2024-03-17,6500
2024-03-18,5548
2024-03-19,5674
2024-03-20,5058
2024-03-21,5597
2024-03-22,7196
2024-03-23,8395
2024-03-24,6386
2024-03-25,5454
2024-03-26,5554
2024-03-27,5987
2024-03-28,5820
2024-03-29,7003
2024-03-30,8187
2024-03-31,6637
2024-04-01,6045
2024-04-02,5552
2024-04-03,5672
2024-04-04,5661
2024-04-05,6795
2024-04-06,8203
2024-04-07,6753
2024-04-08,5814
2024-04-09,5750
2024-04-10,5404
2024-04-11,9213
2024-04-12,7204
2024-04-13,7954
2024-04-14,6693
2024-04-15,5991
2024-04-16,6444
2024-04-17,5939
2024-04-18,5972
2024-04-19,7357
2024-04-20,7701
2024-04-21,6800
2024-04-22,5946
2024-04-23,6675
2024-04-24,5887
2024-04-25,6044
2024-04-26,7441
2024-04-27,8007
2024-04-28,7217
2024-04-29,6212
2024-04-30,6232
2024-05-01,5730
2024-05-02,6432
2024-05-03,7104
2024-05-04,8615
2024-05-05,7598
2024-05-06,5747
2024-05-07,5883
2024-05-08,6091
2024-05-09,5918
2024-05-10,7131
2024-05-11,13652
2024-05-12,6689
2024-05-13,6244
2024-05-14,5835
2024-05-15,6584
2024-05-16,5892
2024-05-17,7573
2024-05-18,8845
2024-05-19,6705
2024-05-20,6228
2024-05-21,6561
2024-05-22,5695
2024-05-23,6240
2024-05-24,12465
2024-05-25,8917
2024-05-26,6770
2024-05-27,5822
2024-05-28,6383
2024-05-29,6324
2024-05-30,6318
2024-05-31,7918
2024-06-01,8560
2024-06-02,7278
2024-06-03,6364
2024-06-04,6070
2024-06-05,6853
2024-06-06,6443
2024-06-07,7529
2024-06-08,9042
2024-06-09,6982
2024-06-10,6570
2024-06-11,10496
2024-06-12,6105
2024-06-13,6648
2024-06-14,8083
2024-06-15,9173
2024-06-16,7911
2024-06-17,6319
2024-06-18,6174
2024-06-19,6142
2024-06-20,6172
2024-06-21,8009
2024-06-22,9110
2024-06-23,7491
2024-06-24,6698
2024-06-25,6462
2024-06-26,6903
2024-06-27,6396
2024-06-28,8920
2024-06-29,9276
2024-06-30,7218
