date,total_orders,gmv_krw,ad_spend_krw,rocket_orders,wow_orders,promo_flag
2024-01-01,5149,144172000,7143286,3604,1545,0
2024-01-02,4967,139076000,8385978,3494,1473,0
2024-01-03,5211,145908000,7821230,3684,1527,0
2024-01-04,5482,153496000,8571200,3894,1588,0
2024-01-05,6221,174188000,11378590,4440,1781,0
2024-01-06,6988,195664000,10941737,5010,1978,0
2024-01-07,6281,175868000,7322565,4524,1757,0
2024-01-08,5288,148064000,6788122,3825,1463,0
2024-01-09,4925,137900000,7642788,3577,1348,0
2024-01-10,5237,146636000,8685119,3819,1418,0
2024-01-11,7994,223832000,15171275,5852,2142,1
2024-01-12,6224,174272000,10003409,4572,1652,0
2024-01-13,7212,201936000,11138545,5315,1897,0
2024-01-14,5300,148400000,8308254,3918,1382,0
2024-01-15,4599,128772000,7292914,3409,1190,0
2024-01-16,4956,138768000,8122980,3683,1273,0
2024-01-17,4829,135212000,8046567,3597,1232,0
2024-01-18,5235,146580000,7085624,3907,1328,0
2024-01-19,6164,172592000,11286230,4607,1557,0
2024-01-20,6797,190316000,11448628,5087,1710,0
2024-01-21,6380,178640000,8866441,4780,1600,0
2024-01-22,5106,142968000,8843042,3828,1278,0
2024-01-23,5203,145684000,6897865,3902,1301,0
2024-01-24,4763,133364000,7249740,3572,1191,0
2024-01-25,5036,141008000,8412028,3776,1260,0
2024-01-26,6542,183176000,11411029,4902,1640,0
2024-01-27,6956,194768000,11412038,5207,1749,0
2024-01-28,6120,171360000,11082185,4576,1544,0
2024-01-29,5052,141456000,8456712,3772,1280,0
2024-01-30,5153,144284000,8908453,3840,1313,0
2024-01-31,5068,141904000,8763201,3769,1299,0
2024-02-01,5813,162764000,8521113,4312,1501,0
2024-02-02,6577,184156000,10747785,4866,1711,0
2024-02-03,7066,197848000,11607175,5212,1854,0
2024-02-04,6321,176988000,7381740,4647,1674,0
2024-02-05,4924,137872000,7810545,3608,1316,0
2024-02-06,5361,150108000,7611709,3913,1448,0
2024-02-07,4719,132132000,8065499,3431,1288,0
2024-02-08,4916,137648000,9851727,3560,1356,0
2024-02-09,6713,187964000,9506188,4840,1873,0
2024-02-10,7686,215208000,11549008,5517,2169,0
2024-02-11,9877,276556000,13709827,7058,2819,1
2024-02-12,5313,148764000,7622455,3779,1534,0
2024-02-13,5266,147448000,8871160,3727,1539,0
2024-02-14,4921,137788000,8051424,3466,1455,0
2024-02-15,5157,144396000,7137804,3614,1543,0
2024-02-16,6588,184464000,10427757,4594,1994,0
2024-02-17,7862,220136000,11543678,5456,2406,0
2024-02-18,6311,176708000,7415707,4358,1953,0
2024-02-19,4877,136556000,8173167,3351,1526,0
2024-02-20,5512,154336000,8036457,3769,1743,0
2024-02-21,5307,148596000,7478720,3612,1695,0
2024-02-22,5228,146384000,9715155,3542,1686,0
2024-02-23,6983,195524000,11507135,4709,2274,0
2024-02-24,7936,222208000,9379886,5329,2607,0
2024-02-25,6554,183512000,8149163,4383,2171,0
2024-02-26,5212,145936000,7470571,3471,1741,0
2024-02-27,5380,150640000,8681947,3570,1810,0
2024-02-28,5580,156240000,7365983,3690,1890,0
2024-02-29,5782,161896000,7908211,3811,1971,0
2024-03-01,6728,188384000,11403990,4422,2306,0
2024-03-02,7652,214256000,11692604,5017,2635,0
2024-03-03,6009,168252000,7039763,3930,2079,0
2024-03-04,5163,144564000,7732399,3371,1792,0
2024-03-05,5774,161672000,7620044,3763,2011,0
2024-03-06,5946,166488000,7477337,3871,2075,0
2024-03-07,5525,154700000,9412363,3594,1931,0
2024-03-08,7245,202860000,11323985,4710,2535,0
2024-03-09,7897,221116000,9991293,5133,2764,0
2024-03-10,6214,173992000,8734290,4040,2174,0
2024-03-11,9037,253036000,16697725,5879,3158,1
2024-03-12,6050,169400000,8825972,3940,2110,0
2024-03-13,5586,156408000,6784504,3642,1944,0
2024-03-14,6074,170072000,7612613,3967,2107,0
2024-03-15,10441,292348000,19013529,6833,3608,1
2024-03-16,8117,227276000,10433864,5325,2792,0
2024-03-17,6500,182000000,8355056,4275,2225,0
2024-03-18,5548,155344000,8619707,3660,1888,0
2024-03-19,5674,158872000,7258456,3755,1919,0
2024-03-20,5058,141624000,7952380,3359,1699,0
2024-03-21,5597,156716000,5406986,3731,1866,0
2024-03-22,7196,201488000,10180490,4817,2379,0
2024-03-23,8395,235060000,10797945,5643,2752,0
2024-03-24,6386,178808000,7001773,4311,2075,0
2024-03-25,5454,152712000,9305929,3699,1755,0
2024-03-26,5554,155512000,6855887,3784,1770,0
2024-03-27,5987,167636000,7647964,4099,1888,0
2024-03-28,5820,162960000,8104592,4004,1816,0
