,name,worktime,parking,address,phone
0,차병원점,평일 07:00~18:00 | 토요일 07:00~15:00 | 일.공휴일 휴무,병원주차장 이용가능 (병원방문시 무료),서울시 강남구 논현로 566 강남차병원1층,02-538-7615
1,강남대로점,"월-금 06:30-23:00 | 토 07:30-23:00 | 일,공휴일 08:00-23:00","15,000원 이상 구매시 1시간 무료 주차 가능(건물 지하 주차장 이용, 대형 차량 불가)",서울시 서초구 강남대로 369 1층,02-588-5778
2,청담에스점,월-금 07:00~22:00 | 토 07:30~22:00 | 일/공휴일 07:30~21:00,"건물지하 주차가능(5,000원 이상 구매시 30분 무료지급/10,000원 이상 구매시 1시간/15,000원 이상 구매시 1시간 30분)","서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052
3,양재스포타임점,"월-금 06:30~22:00 | 토 7:00~ 22:00  | 일, 공휴일 08:00~21:00",1만5천원 이상 구매시 30분무료주차가능(주차권증정),서울시 서초구 강남대로 213 24호 지하1층,02-578-6833
4,청담성당점,월-금 07:00~21:00 | 토 07:30~21:00 | 일/공휴일 07:30~21:00,발렛주차가능 / 최초 1시간 4000원 / 1시간당 추가시 2000원,서울시 강남구 삼성로 716 LEE76빌딩2층,02-542-2053
5,영동점,월-금 07:00~23:00 | 토 08:00~23:00 | 일/공휴일 09:00~22:00,주차불가,서울 서초구 반포동 736-17 P빌딩 2층,02-3443-2096
6,도곡점,"월~금 06:30~22:00  | 토,일, 공휴일 06:30~22:00","1시간30분 무료주차가능(시간초과시,10분당700원)/건물지하주차장","서울시 강남구 언주로 30길 10,112 현대비젼21 112호",02-572-2781
7,영동고앞점,월-금 07:00~22:00 | 토 07:30~22:00 | 일/공휴일 07:30~22:00 I [9일~12일] 08:00~22:00,1대 주차 이용공간(무료),"서울시 강남구 선릉로 749 1,2층",02-544-3794
8,압구정시티점,월-목 08:00~23:00 | 금-토 08:00~23:00 | 일/공휴일 08:00~22:00 I [10일] 09:00~22:00,"발렛 주차 가능  - 기본 1시간 30분 5,000원 이후 추가 1시간당 3,000원 추가 부과 (20분 1,000원)","서울시 강남구 도산대로49길 13 1층 17,18호",02-543-5922
9,트레이드타워점,평일 07:00~21:00  | 주말/공휴일 10:00~21:00,건물 유료주차장 (공항타워 지하2~4층),서울시 강남구 영동대로 511 트레이드타워 지하1층,02-803-9994
10,삼성봉은사거리점,평일 07:00-22:30 | 주말/공휴일 07:00-22:00,"건물뒷편주차장(기계주차식)평일 최초 30분 2,000원 / 1시간 5,000원 (구매영수증 지참시 30분 2,000원 / 1시간 3,500원)1시간 초과시 10분당 1,000원 (평일,주말 동일)","서울시 강남구 영동대로 607 1,2층",02-3443-5618
11,서초지파이브점,월-토 07:00~22:00 I 일 08:00~22:00,"1만원이상 구매시 1시간 무료 주차, 2만원이상 구매시 2시간 무료 주차(매장 최대 주차 2시간 무료 가능),(매장입점 건물인 G-Five건물 지하 2~3층 주차장)","서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호",02-3477-5580
12,논현동수면센터점,월-금 07:00~21:00 | 토 08:00~20:00 | 일/공휴일 08:00~20:00,"병원 건물 주차장 사용 - 발렛비 3,000원 발생, 일요일과 공휴일 무료 주차가능(추석 영업시간 10/4 09:00 ~ 16:00, 10/5~7 휴점, 10/8~9 09:00 ~ 16:00)",서울시 강남구 논현로 717 1층,02-3443-5575
13,삼성전자강남사옥점,월-금 07:00~17:00 | 토/일/공휴일 휴점,1시간 무료주차 (영수증 지참시),서울시 서초구 서초대로74길 11 지하2층,02-2055-1142
