name,adress,tel
차병원점,서울시 강남구 논현로 566 강남차병원1층,02-538-7615
강남대로점,서울시 서초구 강남대로 369 1층,02-588-5778
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층,02-578-6833
영동점,서울 서초구 반포동 736-17 P빌딩 2층,02-3443-2096
영동고앞점,"서울시 강남구 선릉로 749 1,2층",02-544-3794
압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호",02-543-5922
서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층,02-582-0158
논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층,02-513-3870
삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층,02-3466-8507
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-803-9994
삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층",02-3443-5618
서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호",02-3477-5580
논현동수면센터점,서울시 강남구 논현로 717 1층,02-3443-5575
삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층,02-2055-1142
삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,02-581-5562
방배카페골목점,서울특별시 서초구 방배중앙로 187,02-592-7794
역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층,02-554-9962
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층,02-538-9927
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523
방이점,서울시 송파구 오금로 11길 7,02-415-5561
매봉역점,서울시 강남구 논현로 38길 42 418호,02-529-9947
남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층,02-523-3671
강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층,02-563-3655
도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330
청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층",02-514-5622
광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층,02-3210-2326
경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외,02-730-8896
홍대역점,서울시 마포구 홍익로 6길 26,02-333-4278
순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층,02-2220-8198
종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층",02-738-5333
소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층,02-753-8004
강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호,02-3424-5480
외대앞점,서울시 동대문구 이문로 106 1~3층,02-959-7750
고대안암역점,서울시 성북구 개운사길8 101-3 1층,02-953-6652
순화동라마다호텔점,서울시 중구 칠패로 27 151호,02-3789-3347
신촌점,서울시 서대문구 창천 18-26호 B1,02-363-5572
건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,02-444-9861
하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층",02-733-5108
서울스퀘어점,서울시 중구 한강대로 416 지하1층,02-6456-8907
